"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","265"
"Janssen Vaccines & Prevention B.V","free state","Adults","67"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","606"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","343"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","183"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","324"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","113"
"Janssen Vaccines & Prevention B.V","north west","Adults","212"
"Janssen Vaccines & Prevention B.V","western cape","Adults","197"
"Pfizer","eastern cape","12-17 Years","391"
"Pfizer","eastern cape","Adults","365"
"Pfizer","free state","12-17 Years","82"
"Pfizer","free state","Adults","78"
"Pfizer","gauteng","12-17 Years","488"
"Pfizer","gauteng","Adults","1244"
"Pfizer","kwazulu-natal","12-17 Years","314"
"Pfizer","kwazulu-natal","Adults","564"
"Pfizer","limpopo","12-17 Years","93"
"Pfizer","limpopo","Adults","108"
"Pfizer","mpumalanga","12-17 Years","107"
"Pfizer","mpumalanga","Adults","117"
"Pfizer","northern cape","12-17 Years","70"
"Pfizer","northern cape","Adults","109"
"Pfizer","north west","12-17 Years","125"
"Pfizer","north west","Adults","181"
"Pfizer","western cape","12-17 Years","120"
"Pfizer","western cape","Adults","359"
