"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","992"
"eastern cape","Public Health","5979"
"free state","Private Health","536"
"free state","Public Health","3636"
"gauteng","Private Health","5563"
"gauteng","Public Health","8736"
"kwazulu-natal","Private Health","207"
"kwazulu-natal","Public Health","3965"
"limpopo","Private Health","1200"
"limpopo","Public Health","6336"
"mpumalanga","Private Health","386"
"mpumalanga","Public Health","5651"
"northern cape","Private Health","192"
"northern cape","Public Health","814"
"north west","Private Health","845"
"north west","Public Health","3285"
"western cape","Private Health","2232"
"western cape","Public Health","3154"
