"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1563"
"eastern cape","Public Health","7181"
"free state","Private Health","953"
"free state","Public Health","4887"
"gauteng","Private Health","9947"
"gauteng","Public Health","12267"
"kwazulu-natal","Private Health","2209"
"kwazulu-natal","Public Health","7133"
"limpopo","Private Health","1462"
"limpopo","Public Health","6763"
"mpumalanga","Private Health","792"
"mpumalanga","Public Health","4751"
"northern cape","Private Health","322"
"northern cape","Public Health","839"
"north west","Private Health","1236"
"north west","Public Health","3718"
"western cape","Private Health","3941"
"western cape","Public Health","6075"
