"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","96"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","178"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","218"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","28"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","102"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","45"
"Janssen Vaccines & Prevention B.V","north west","Adults","142"
"Janssen Vaccines & Prevention B.V","western cape","Adults","58"
"Pfizer","eastern cape","12-17 Years","49"
"Pfizer","eastern cape","Adults","93"
"Pfizer","free state","Adults","5"
"Pfizer","gauteng","12-17 Years","35"
"Pfizer","gauteng","Adults","169"
"Pfizer","kwazulu-natal","12-17 Years","62"
"Pfizer","kwazulu-natal","Adults","244"
"Pfizer","limpopo","12-17 Years","6"
"Pfizer","limpopo","Adults","18"
"Pfizer","mpumalanga","12-17 Years","25"
"Pfizer","mpumalanga","Adults","44"
"Pfizer","northern cape","12-17 Years","10"
"Pfizer","northern cape","Adults","36"
"Pfizer","north west","12-17 Years","91"
"Pfizer","north west","Adults","74"
"Pfizer","western cape","12-17 Years","21"
"Pfizer","western cape","Adults","118"
