"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","621"
"Janssen Vaccines & Prevention B.V","free state","Adults","332"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1703"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","950"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","520"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","723"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","60"
"Janssen Vaccines & Prevention B.V","north west","Adults","402"
"Janssen Vaccines & Prevention B.V","western cape","Adults","436"
"Pfizer","eastern cape","12-17 Years","586"
"Pfizer","eastern cape","Adults","818"
"Pfizer","free state","12-17 Years","878"
"Pfizer","free state","Adults","583"
"Pfizer","gauteng","12-17 Years","2564"
"Pfizer","gauteng","Adults","4194"
"Pfizer","kwazulu-natal","12-17 Years","819"
"Pfizer","kwazulu-natal","Adults","1493"
"Pfizer","limpopo","12-17 Years","782"
"Pfizer","limpopo","Adults","709"
"Pfizer","mpumalanga","12-17 Years","402"
"Pfizer","mpumalanga","Adults","493"
"Pfizer","northern cape","12-17 Years","95"
"Pfizer","northern cape","Adults","169"
"Pfizer","north west","12-17 Years","321"
"Pfizer","north west","Adults","572"
"Pfizer","western cape","12-17 Years","702"
"Pfizer","western cape","Adults","1361"
