"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","15","0","64","79"
"Janssen Vaccines & Prevention B.V","free state","Adults","1","0","0","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","192","0","304","496"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","104","0","144","248"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","9","0","20","29"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","75","0","87","162"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","26","0","60","86"
"Janssen Vaccines & Prevention B.V","north west","Adults","184","0","427","611"
"Janssen Vaccines & Prevention B.V","western cape","Adults","4","0","4","8"
"Pfizer","eastern cape","12-17 Years","6","12","0","18"
"Pfizer","eastern cape","Adults","23","49","81","153"
"Pfizer","free state","12-17 Years","1","3","0","4"
"Pfizer","free state","Adults","3","12","62","77"
"Pfizer","gauteng","12-17 Years","45","115","0","160"
"Pfizer","gauteng","Adults","134","267","636","1037"
"Pfizer","kwazulu-natal","12-17 Years","91","80","0","171"
"Pfizer","kwazulu-natal","Adults","88","153","399","640"
"Pfizer","limpopo","12-17 Years","5","10","0","15"
"Pfizer","limpopo","Adults","10","8","10","28"
"Pfizer","mpumalanga","12-17 Years","18","25","0","43"
"Pfizer","mpumalanga","Adults","5","15","109","129"
"Pfizer","northern cape","12-17 Years","7","3","0","10"
"Pfizer","northern cape","Adults","18","20","45","83"
"Pfizer","north west","12-17 Years","44","82","0","126"
"Pfizer","north west","Adults","26","70","212","308"
"Pfizer","western cape","12-17 Years","0","2","0","2"
"Pfizer","western cape","Adults","8","9","18","35"
