"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","894"
"Janssen Vaccines & Prevention B.V","free state","Adults","524"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","2144"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","988"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","769"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1118"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","96"
"Janssen Vaccines & Prevention B.V","north west","Adults","633"
"Janssen Vaccines & Prevention B.V","western cape","Adults","569"
"Pfizer","eastern cape","12-17 Years","720"
"Pfizer","eastern cape","Adults","1275"
"Pfizer","free state","12-17 Years","960"
"Pfizer","free state","Adults","758"
"Pfizer","gauteng","12-17 Years","2660"
"Pfizer","gauteng","Adults","5412"
"Pfizer","kwazulu-natal","12-17 Years","779"
"Pfizer","kwazulu-natal","Adults","1804"
"Pfizer","limpopo","12-17 Years","1117"
"Pfizer","limpopo","Adults","956"
"Pfizer","mpumalanga","12-17 Years","473"
"Pfizer","mpumalanga","Adults","586"
"Pfizer","northern cape","12-17 Years","94"
"Pfizer","northern cape","Adults","182"
"Pfizer","north west","12-17 Years","422"
"Pfizer","north west","Adults","706"
"Pfizer","western cape","12-17 Years","719"
"Pfizer","western cape","Adults","1622"
