"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920"
"Janssen Vaccines & Prevention B.V","free state","Adults","504"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1957"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","987"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","845"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1179"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","143"
"Janssen Vaccines & Prevention B.V","north west","Adults","631"
"Janssen Vaccines & Prevention B.V","western cape","Adults","442"
"Pfizer","eastern cape","12-17 Years","777"
"Pfizer","eastern cape","Adults","1148"
"Pfizer","free state","12-17 Years","1137"
"Pfizer","free state","Adults","873"
"Pfizer","gauteng","12-17 Years","2642"
"Pfizer","gauteng","Adults","5718"
"Pfizer","kwazulu-natal","12-17 Years","894"
"Pfizer","kwazulu-natal","Adults","1975"
"Pfizer","limpopo","12-17 Years","1170"
"Pfizer","limpopo","Adults","1014"
"Pfizer","mpumalanga","12-17 Years","463"
"Pfizer","mpumalanga","Adults","588"
"Pfizer","northern cape","12-17 Years","138"
"Pfizer","northern cape","Adults","209"
"Pfizer","north west","12-17 Years","448"
"Pfizer","north west","Adults","790"
"Pfizer","western cape","12-17 Years","545"
"Pfizer","western cape","Adults","1310"
