"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","805"
"Janssen Vaccines & Prevention B.V","free state","Adults","515"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","2203"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1130"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","921"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1050"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","143"
"Janssen Vaccines & Prevention B.V","north west","Adults","696"
"Janssen Vaccines & Prevention B.V","western cape","Adults","499"
"Pfizer","eastern cape","12-17 Years","751"
"Pfizer","eastern cape","Adults","1327"
"Pfizer","free state","12-17 Years","1142"
"Pfizer","free state","Adults","868"
"Pfizer","gauteng","12-17 Years","2570"
"Pfizer","gauteng","Adults","5959"
"Pfizer","kwazulu-natal","12-17 Years","891"
"Pfizer","kwazulu-natal","Adults","1870"
"Pfizer","limpopo","12-17 Years","1418"
"Pfizer","limpopo","Adults","1111"
"Pfizer","mpumalanga","12-17 Years","463"
"Pfizer","mpumalanga","Adults","642"
"Pfizer","northern cape","12-17 Years","133"
"Pfizer","northern cape","Adults","176"
"Pfizer","north west","12-17 Years","504"
"Pfizer","north west","Adults","832"
"Pfizer","western cape","12-17 Years","667"
"Pfizer","western cape","Adults","1515"
