"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","633","0","1169","1802"
"Janssen Vaccines & Prevention B.V","free state","Adults","368","0","820","1188"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1418","0","1427","2845"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","773","0","1097","1870"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","793","0","1630","2423"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","703","0","839","1542"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","100","0","248","348"
"Janssen Vaccines & Prevention B.V","north west","Adults","442","0","910","1352"
"Janssen Vaccines & Prevention B.V","western cape","Adults","329","0","602","931"
"Pfizer","eastern cape","12-17 Years","751","716","0","1467"
"Pfizer","eastern cape","Adults","495","1092","2661","4248"
"Pfizer","free state","12-17 Years","283","480","0","763"
"Pfizer","free state","Adults","341","577","1819","2737"
"Pfizer","gauteng","12-17 Years","319","771","0","1090"
"Pfizer","gauteng","Adults","1536","3205","5368","10109"
"Pfizer","kwazulu-natal","12-17 Years","423","621","0","1044"
"Pfizer","kwazulu-natal","Adults","896","1513","1938","4347"
"Pfizer","limpopo","12-17 Years","350","424","0","774"
"Pfizer","limpopo","Adults","372","727","1924","3023"
"Pfizer","mpumalanga","12-17 Years","681","451","0","1132"
"Pfizer","mpumalanga","Adults","394","568","1057","2019"
"Pfizer","northern cape","12-17 Years","39","106","0","145"
"Pfizer","northern cape","Adults","105","172","376","653"
"Pfizer","north west","12-17 Years","469","464","0","933"
"Pfizer","north west","Adults","287","584","1247","2118"
"Pfizer","western cape","12-17 Years","45","180","0","225"
"Pfizer","western cape","Adults","526","929","3386","4841"
