"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1189"
"eastern cape","Public Health","4912"
"free state","Private Health","881"
"free state","Public Health","3121"
"gauteng","Private Health","7224"
"gauteng","Public Health","6041"
"kwazulu-natal","Private Health","1878"
"kwazulu-natal","Public Health","5458"
"limpopo","Private Health","1238"
"limpopo","Public Health","4883"
"mpumalanga","Private Health","564"
"mpumalanga","Public Health","2686"
"northern cape","Private Health","270"
"northern cape","Public Health","431"
"north west","Private Health","912"
"north west","Public Health","1981"
"western cape","Private Health","3405"
"western cape","Public Health","2633"
