"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","581"
"Janssen Vaccines & Prevention B.V","free state","Adults","332"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1436"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","429"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","785"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1018"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","100"
"Janssen Vaccines & Prevention B.V","north west","Adults","398"
"Janssen Vaccines & Prevention B.V","western cape","Adults","391"
"Pfizer","eastern cape","12-17 Years","1124"
"Pfizer","eastern cape","Adults","792"
"Pfizer","free state","12-17 Years","540"
"Pfizer","free state","Adults","454"
"Pfizer","gauteng","12-17 Years","1540"
"Pfizer","gauteng","Adults","2765"
"Pfizer","kwazulu-natal","12-17 Years","1024"
"Pfizer","kwazulu-natal","Adults","488"
"Pfizer","limpopo","12-17 Years","869"
"Pfizer","limpopo","Adults","832"
"Pfizer","mpumalanga","12-17 Years","726"
"Pfizer","mpumalanga","Adults","442"
"Pfizer","northern cape","12-17 Years","19"
"Pfizer","northern cape","Adults","113"
"Pfizer","north west","12-17 Years","790"
"Pfizer","north west","Adults","445"
"Pfizer","western cape","12-17 Years","100"
"Pfizer","western cape","Adults","819"
