"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","647"
"Janssen Vaccines & Prevention B.V","free state","Adults","369"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1479"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","763"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","711"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","975"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","91"
"Janssen Vaccines & Prevention B.V","north west","Adults","446"
"Janssen Vaccines & Prevention B.V","western cape","Adults","381"
"Pfizer","eastern cape","12-17 Years","1158"
"Pfizer","eastern cape","Adults","939"
"Pfizer","free state","12-17 Years","657"
"Pfizer","free state","Adults","450"
"Pfizer","gauteng","12-17 Years","974"
"Pfizer","gauteng","Adults","3211"
"Pfizer","kwazulu-natal","12-17 Years","868"
"Pfizer","kwazulu-natal","Adults","1380"
"Pfizer","limpopo","12-17 Years","236"
"Pfizer","limpopo","Adults","633"
"Pfizer","mpumalanga","12-17 Years","630"
"Pfizer","mpumalanga","Adults","505"
"Pfizer","northern cape","12-17 Years","71"
"Pfizer","northern cape","Adults","119"
"Pfizer","north west","12-17 Years","568"
"Pfizer","north west","Adults","438"
"Pfizer","western cape","12-17 Years","203"
"Pfizer","western cape","Adults","973"
