"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","621","0","1022","1643"
"Janssen Vaccines & Prevention B.V","free state","Adults","332","0","675","1007"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1703","0","1649","3352"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","950","0","1275","2225"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","520","0","1207","1727"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","723","0","1073","1796"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","60","0","221","281"
"Janssen Vaccines & Prevention B.V","north west","Adults","402","0","846","1248"
"Janssen Vaccines & Prevention B.V","western cape","Adults","436","0","841","1277"
"Pfizer","eastern cape","12-17 Years","419","586","0","1005"
"Pfizer","eastern cape","Adults","451","818","2083","3352"
"Pfizer","free state","12-17 Years","245","878","0","1123"
"Pfizer","free state","Adults","260","583","1332","2175"
"Pfizer","gauteng","12-17 Years","841","2564","0","3405"
"Pfizer","gauteng","Adults","1861","4194","6917","12972"
"Pfizer","kwazulu-natal","12-17 Years","280","819","0","1099"
"Pfizer","kwazulu-natal","Adults","857","1493","2463","4813"
"Pfizer","limpopo","12-17 Years","585","782","0","1367"
"Pfizer","limpopo","Adults","278","709","1614","2601"
"Pfizer","mpumalanga","12-17 Years","351","402","0","753"
"Pfizer","mpumalanga","Adults","418","493","956","1867"
"Pfizer","northern cape","12-17 Years","46","95","0","141"
"Pfizer","northern cape","Adults","71","169","357","597"
"Pfizer","north west","12-17 Years","183","321","0","504"
"Pfizer","north west","Adults","240","572","1444","2256"
"Pfizer","western cape","12-17 Years","252","702","0","954"
"Pfizer","western cape","Adults","608","1361","4514","6483"
