"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","514","0","956","1470"
"Janssen Vaccines & Prevention B.V","free state","Adults","343","0","689","1032"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1230","0","1045","2275"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","850","0","1085","1935"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","541","0","1272","1813"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","558","0","659","1217"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","71","0","139","210"
"Janssen Vaccines & Prevention B.V","north west","Adults","329","0","657","986"
"Janssen Vaccines & Prevention B.V","western cape","Adults","318","0","442","760"
"Pfizer","eastern cape","12-17 Years","375","662","0","1037"
"Pfizer","eastern cape","Adults","404","895","2295","3594"
"Pfizer","free state","12-17 Years","260","645","0","905"
"Pfizer","free state","Adults","267","526","1272","2065"
"Pfizer","gauteng","12-17 Years","440","1628","0","2068"
"Pfizer","gauteng","Adults","1523","3081","4318","8922"
"Pfizer","kwazulu-natal","12-17 Years","265","686","0","951"
"Pfizer","kwazulu-natal","Adults","922","1562","1966","4450"
"Pfizer","limpopo","12-17 Years","697","946","0","1643"
"Pfizer","limpopo","Adults","303","656","1706","2665"
"Pfizer","mpumalanga","12-17 Years","256","293","0","549"
"Pfizer","mpumalanga","Adults","289","402","793","1484"
"Pfizer","northern cape","12-17 Years","24","55","0","79"
"Pfizer","northern cape","Adults","76","126","210","412"
"Pfizer","north west","12-17 Years","112","216","0","328"
"Pfizer","north west","Adults","242","453","884","1579"
"Pfizer","western cape","12-17 Years","175","584","0","759"
"Pfizer","western cape","Adults","533","1012","2974","4519"
