"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","15"
"Janssen Vaccines & Prevention B.V","free state","Adults","1"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","192"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","104"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","9"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","75"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","26"
"Janssen Vaccines & Prevention B.V","north west","Adults","184"
"Janssen Vaccines & Prevention B.V","western cape","Adults","4"
"Pfizer","eastern cape","12-17 Years","12"
"Pfizer","eastern cape","Adults","49"
"Pfizer","free state","12-17 Years","3"
"Pfizer","free state","Adults","12"
"Pfizer","gauteng","12-17 Years","115"
"Pfizer","gauteng","Adults","267"
"Pfizer","kwazulu-natal","12-17 Years","80"
"Pfizer","kwazulu-natal","Adults","153"
"Pfizer","limpopo","12-17 Years","10"
"Pfizer","limpopo","Adults","8"
"Pfizer","mpumalanga","12-17 Years","25"
"Pfizer","mpumalanga","Adults","15"
"Pfizer","northern cape","12-17 Years","3"
"Pfizer","northern cape","Adults","20"
"Pfizer","north west","12-17 Years","82"
"Pfizer","north west","Adults","70"
"Pfizer","western cape","12-17 Years","2"
"Pfizer","western cape","Adults","9"
