"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","821"
"Janssen Vaccines & Prevention B.V","free state","Adults","487"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1756"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","991"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","791"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","984"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","85"
"Janssen Vaccines & Prevention B.V","north west","Adults","512"
"Janssen Vaccines & Prevention B.V","western cape","Adults","429"
"Pfizer","eastern cape","12-17 Years","768"
"Pfizer","eastern cape","Adults","1066"
"Pfizer","free state","12-17 Years","1086"
"Pfizer","free state","Adults","772"
"Pfizer","gauteng","12-17 Years","2574"
"Pfizer","gauteng","Adults","5604"
"Pfizer","kwazulu-natal","12-17 Years","866"
"Pfizer","kwazulu-natal","Adults","1996"
"Pfizer","limpopo","12-17 Years","1275"
"Pfizer","limpopo","Adults","1073"
"Pfizer","mpumalanga","12-17 Years","497"
"Pfizer","mpumalanga","Adults","638"
"Pfizer","northern cape","12-17 Years","92"
"Pfizer","northern cape","Adults","198"
"Pfizer","north west","12-17 Years","436"
"Pfizer","north west","Adults","742"
"Pfizer","western cape","12-17 Years","658"
"Pfizer","western cape","Adults","1375"
