"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","379"
"Janssen Vaccines & Prevention B.V","free state","Adults","368"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1239"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","681"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","798"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","902"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","111"
"Janssen Vaccines & Prevention B.V","north west","Adults","399"
"Janssen Vaccines & Prevention B.V","western cape","Adults","402"
"Pfizer","eastern cape","12-17 Years","647"
"Pfizer","eastern cape","Adults","716"
"Pfizer","free state","12-17 Years","879"
"Pfizer","free state","Adults","515"
"Pfizer","gauteng","12-17 Years","1543"
"Pfizer","gauteng","Adults","2744"
"Pfizer","kwazulu-natal","12-17 Years","897"
"Pfizer","kwazulu-natal","Adults","928"
"Pfizer","limpopo","12-17 Years","678"
"Pfizer","limpopo","Adults","832"
"Pfizer","mpumalanga","12-17 Years","625"
"Pfizer","mpumalanga","Adults","447"
"Pfizer","northern cape","12-17 Years","14"
"Pfizer","northern cape","Adults","169"
"Pfizer","north west","12-17 Years","624"
"Pfizer","north west","Adults","527"
"Pfizer","western cape","12-17 Years","126"
"Pfizer","western cape","Adults","869"
