"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","920","0","1706","2626"
"Janssen Vaccines & Prevention B.V","free state","Adults","504","0","1172","1676"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1957","0","2118","4075"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","987","0","1580","2567"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","845","0","1914","2759"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1179","0","1428","2607"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","143","0","224","367"
"Janssen Vaccines & Prevention B.V","north west","Adults","631","0","1294","1925"
"Janssen Vaccines & Prevention B.V","western cape","Adults","442","0","948","1390"
"Pfizer","eastern cape","12-17 Years","515","777","0","1292"
"Pfizer","eastern cape","Adults","573","1148","3454","5175"
"Pfizer","free state","12-17 Years","312","1137","0","1449"
"Pfizer","free state","Adults","365","873","2073","3311"
"Pfizer","gauteng","12-17 Years","795","2642","0","3437"
"Pfizer","gauteng","Adults","2238","5718","7828","15784"
"Pfizer","kwazulu-natal","12-17 Years","333","894","0","1227"
"Pfizer","kwazulu-natal","Adults","973","1975","3305","6253"
"Pfizer","limpopo","12-17 Years","1004","1170","0","2174"
"Pfizer","limpopo","Adults","418","1014","2742","4174"
"Pfizer","mpumalanga","12-17 Years","522","463","0","985"
"Pfizer","mpumalanga","Adults","303","588","1334","2225"
"Pfizer","northern cape","12-17 Years","45","138","0","183"
"Pfizer","northern cape","Adults","90","209","393","692"
"Pfizer","north west","12-17 Years","267","448","0","715"
"Pfizer","north west","Adults","325","790","1600","2715"
"Pfizer","western cape","12-17 Years","189","545","0","734"
"Pfizer","western cape","Adults","613","1310","4410","6333"
