"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","871"
"eastern cape","Public Health","5667"
"free state","Private Health","564"
"free state","Public Health","2227"
"gauteng","Private Health","4566"
"gauteng","Public Health","5324"
"kwazulu-natal","Private Health","885"
"kwazulu-natal","Public Health","3661"
"limpopo","Private Health","1069"
"limpopo","Public Health","4970"
"mpumalanga","Private Health","260"
"mpumalanga","Public Health","4534"
"northern cape","Private Health","163"
"northern cape","Public Health","474"
"north west","Private Health","661"
"north west","Public Health","2610"
"western cape","Private Health","2198"
"western cape","Public Health","2923"
