"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1131"
"eastern cape","Public Health","6386"
"free state","Private Health","726"
"free state","Public Health","3962"
"gauteng","Private Health","6513"
"gauteng","Public Health","7531"
"kwazulu-natal","Private Health","1520"
"kwazulu-natal","Public Health","5741"
"limpopo","Private Health","1058"
"limpopo","Public Health","5162"
"mpumalanga","Private Health","387"
"mpumalanga","Public Health","4306"
"northern cape","Private Health","324"
"northern cape","Public Health","822"
"north west","Private Health","981"
"north west","Public Health","3422"
"western cape","Private Health","2686"
"western cape","Public Health","3311"
