"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","6"
"eastern cape","Public Health","244"
"free state","Private Health","81"
"free state","Public Health","1"
"gauteng","Private Health","449"
"gauteng","Public Health","1244"
"kwazulu-natal","Private Health","359"
"kwazulu-natal","Public Health","700"
"limpopo","Private Health","47"
"limpopo","Public Health","25"
"mpumalanga","Private Health","5"
"mpumalanga","Public Health","329"
"northern cape","Private Health","125"
"northern cape","Public Health","54"
"north west","Private Health","4"
"north west","Public Health","1041"
"western cape","Private Health","45"
