"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1424"
"eastern cape","Public Health","4576"
"free state","Private Health","1010"
"free state","Public Health","3295"
"gauteng","Private Health","10834"
"gauteng","Public Health","8895"
"kwazulu-natal","Private Health","2449"
"kwazulu-natal","Public Health","5688"
"limpopo","Private Health","1555"
"limpopo","Public Health","4140"
"mpumalanga","Private Health","689"
"mpumalanga","Public Health","3727"
"northern cape","Private Health","436"
"northern cape","Public Health","583"
"north west","Private Health","1375"
"north west","Public Health","2633"
"western cape","Private Health","4109"
"western cape","Public Health","4605"
