"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","96","0","129","225"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","178","0","203","381"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","218","0","298","516"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","28","0","61","89"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","102","0","117","219"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","45","0","86","131"
"Janssen Vaccines & Prevention B.V","north west","Adults","142","0","350","492"
"Janssen Vaccines & Prevention B.V","western cape","Adults","58","0","101","159"
"Pfizer","eastern cape","12-17 Years","127","49","0","176"
"Pfizer","eastern cape","Adults","78","93","183","354"
"Pfizer","free state","Adults","1","5","8","14"
"Pfizer","gauteng","12-17 Years","30","35","0","65"
"Pfizer","gauteng","Adults","117","169","280","566"
"Pfizer","kwazulu-natal","12-17 Years","88","62","0","150"
"Pfizer","kwazulu-natal","Adults","208","244","374","826"
"Pfizer","limpopo","12-17 Years","51","6","0","57"
"Pfizer","limpopo","Adults","17","18","59","94"
"Pfizer","mpumalanga","12-17 Years","27","25","0","52"
"Pfizer","mpumalanga","Adults","29","44","78","151"
"Pfizer","northern cape","12-17 Years","28","10","0","38"
"Pfizer","northern cape","Adults","33","36","54","123"
"Pfizer","north west","12-17 Years","44","91","0","135"
"Pfizer","north west","Adults","40","74","185","299"
"Pfizer","western cape","12-17 Years","27","21","0","48"
"Pfizer","western cape","Adults","59","118","308","485"
