"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","821","0","1461","2282"
"Janssen Vaccines & Prevention B.V","free state","Adults","487","0","1067","1554"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1756","0","1848","3604"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","991","0","1390","2381"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","791","0","1468","2259"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","984","0","1374","2358"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","85","0","188","273"
"Janssen Vaccines & Prevention B.V","north west","Adults","512","0","977","1489"
"Janssen Vaccines & Prevention B.V","western cape","Adults","429","0","940","1369"
"Pfizer","eastern cape","12-17 Years","726","768","0","1494"
"Pfizer","eastern cape","Adults","534","1066","2926","4526"
"Pfizer","free state","12-17 Years","266","1086","0","1352"
"Pfizer","free state","Adults","322","772","1778","2872"
"Pfizer","gauteng","12-17 Years","787","2574","0","3361"
"Pfizer","gauteng","Adults","2125","5604","7003","14732"
"Pfizer","kwazulu-natal","12-17 Years","445","866","0","1311"
"Pfizer","kwazulu-natal","Adults","997","1996","3039","6032"
"Pfizer","limpopo","12-17 Years","766","1275","0","2041"
"Pfizer","limpopo","Adults","415","1073","2509","3997"
"Pfizer","mpumalanga","12-17 Years","422","497","0","919"
"Pfizer","mpumalanga","Adults","320","638","1314","2272"
"Pfizer","northern cape","12-17 Years","21","92","0","113"
"Pfizer","northern cape","Adults","99","198","294","591"
"Pfizer","north west","12-17 Years","251","436","0","687"
"Pfizer","north west","Adults","339","742","1285","2366"
"Pfizer","western cape","12-17 Years","226","658","0","884"
"Pfizer","western cape","Adults","715","1375","5039","7129"
