"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","594","0","925","1519"
"Janssen Vaccines & Prevention B.V","free state","Adults","303","0","613","916"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1455","0","1456","2911"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","793","0","1117","1910"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","554","0","1082","1636"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1126","0","984","2110"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","138","0","395","533"
"Janssen Vaccines & Prevention B.V","north west","Adults","399","0","866","1265"
"Janssen Vaccines & Prevention B.V","western cape","Adults","440","0","1128","1568"
"Pfizer","eastern cape","12-17 Years","906","907","0","1813"
"Pfizer","eastern cape","Adults","494","856","1888","3238"
"Pfizer","free state","12-17 Years","620","822","0","1442"
"Pfizer","free state","Adults","295","552","1343","2190"
"Pfizer","gauteng","12-17 Years","738","1080","0","1818"
"Pfizer","gauteng","Adults","1609","3075","5696","10380"
"Pfizer","kwazulu-natal","12-17 Years","877","1151","0","2028"
"Pfizer","kwazulu-natal","Adults","1018","1571","2334","4923"
"Pfizer","limpopo","12-17 Years","613","411","0","1024"
"Pfizer","limpopo","Adults","355","563","1361","2279"
"Pfizer","mpumalanga","12-17 Years","855","465","0","1320"
"Pfizer","mpumalanga","Adults","357","465","964","1786"
"Pfizer","northern cape","12-17 Years","49","126","0","175"
"Pfizer","northern cape","Adults","136","149","402","687"
"Pfizer","north west","12-17 Years","808","710","0","1518"
"Pfizer","north west","Adults","303","515","1029","1847"
"Pfizer","western cape","12-17 Years","120","277","0","397"
"Pfizer","western cape","Adults","645","1100","3764","5509"
