"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","633"
"Janssen Vaccines & Prevention B.V","free state","Adults","368"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1418"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","773"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","793"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","703"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","100"
"Janssen Vaccines & Prevention B.V","north west","Adults","442"
"Janssen Vaccines & Prevention B.V","western cape","Adults","329"
"Pfizer","eastern cape","12-17 Years","716"
"Pfizer","eastern cape","Adults","1092"
"Pfizer","free state","12-17 Years","480"
"Pfizer","free state","Adults","577"
"Pfizer","gauteng","12-17 Years","771"
"Pfizer","gauteng","Adults","3205"
"Pfizer","kwazulu-natal","12-17 Years","621"
"Pfizer","kwazulu-natal","Adults","1513"
"Pfizer","limpopo","12-17 Years","424"
"Pfizer","limpopo","Adults","727"
"Pfizer","mpumalanga","12-17 Years","451"
"Pfizer","mpumalanga","Adults","568"
"Pfizer","northern cape","12-17 Years","106"
"Pfizer","northern cape","Adults","172"
"Pfizer","north west","12-17 Years","464"
"Pfizer","north west","Adults","584"
"Pfizer","western cape","12-17 Years","180"
"Pfizer","western cape","Adults","929"
