"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","484","0","809","1293"
"Janssen Vaccines & Prevention B.V","free state","Adults","230","0","417","647"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1047","0","807","1854"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","479","0","573","1052"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","796","0","1224","2020"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1016","0","801","1817"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","65","0","138","203"
"Janssen Vaccines & Prevention B.V","north west","Adults","284","0","639","923"
"Janssen Vaccines & Prevention B.V","western cape","Adults","426","0","540","966"
"Pfizer","eastern cape","12-17 Years","1042","1310","0","2352"
"Pfizer","eastern cape","Adults","485","676","1732","2893"
"Pfizer","free state","12-17 Years","418","406","0","824"
"Pfizer","free state","Adults","248","252","820","1320"
"Pfizer","gauteng","12-17 Years","693","1036","0","1729"
"Pfizer","gauteng","Adults","1335","1841","3131","6307"
"Pfizer","kwazulu-natal","12-17 Years","444","823","0","1267"
"Pfizer","kwazulu-natal","Adults","599","684","944","2227"
"Pfizer","limpopo","12-17 Years","654","483","0","1137"
"Pfizer","limpopo","Adults","470","603","1809","2882"
"Pfizer","mpumalanga","12-17 Years","1149","526","0","1675"
"Pfizer","mpumalanga","Adults","354","342","606","1302"
"Pfizer","northern cape","12-17 Years","19","54","0","73"
"Pfizer","northern cape","Adults","55","93","213","361"
"Pfizer","north west","12-17 Years","477","690","0","1167"
"Pfizer","north west","Adults","174","298","709","1181"
"Pfizer","western cape","12-17 Years","82","103","0","185"
"Pfizer","western cape","Adults","568","706","2696","3970"
