"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1453"
"eastern cape","Public Health","7908"
"free state","Private Health","1080"
"free state","Public Health","5542"
"gauteng","Private Health","10565"
"gauteng","Public Health","13233"
"kwazulu-natal","Private Health","2248"
"kwazulu-natal","Public Health","7869"
"limpopo","Private Health","1585"
"limpopo","Public Health","8236"
"mpumalanga","Private Health","665"
"mpumalanga","Public Health","4825"
"northern cape","Private Health","336"
"northern cape","Public Health","1004"
"north west","Private Health","1228"
"north west","Public Health","4316"
"western cape","Private Health","3786"
"western cape","Public Health","5831"
