"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","805","0","1520","2325"
"Janssen Vaccines & Prevention B.V","free state","Adults","515","0","1081","1596"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","2203","0","2072","4275"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1130","0","1433","2563"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","921","0","1986","2907"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1050","0","1242","2292"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","143","0","305","448"
"Janssen Vaccines & Prevention B.V","north west","Adults","696","0","1214","1910"
"Janssen Vaccines & Prevention B.V","western cape","Adults","499","0","889","1388"
"Pfizer","eastern cape","12-17 Years","739","751","0","1490"
"Pfizer","eastern cape","Adults","700","1327","3519","5546"
"Pfizer","free state","12-17 Years","301","1142","0","1443"
"Pfizer","free state","Adults","397","868","2318","3583"
"Pfizer","gauteng","12-17 Years","795","2570","0","3365"
"Pfizer","gauteng","Adults","2282","5959","7917","16158"
"Pfizer","kwazulu-natal","12-17 Years","346","891","0","1237"
"Pfizer","kwazulu-natal","Adults","1313","1870","3134","6317"
"Pfizer","limpopo","12-17 Years","915","1418","0","2333"
"Pfizer","limpopo","Adults","493","1111","2977","4581"
"Pfizer","mpumalanga","12-17 Years","441","463","0","904"
"Pfizer","mpumalanga","Adults","341","642","1311","2294"
"Pfizer","northern cape","12-17 Years","55","133","0","188"
"Pfizer","northern cape","Adults","97","176","431","704"
"Pfizer","north west","12-17 Years","305","504","0","809"
"Pfizer","north west","Adults","354","832","1639","2825"
"Pfizer","western cape","12-17 Years","293","667","0","960"
"Pfizer","western cape","Adults","756","1515","4998","7269"
