"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","697"
"Janssen Vaccines & Prevention B.V","free state","Adults","356"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1502"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","976"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","648"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","604"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","78"
"Janssen Vaccines & Prevention B.V","north west","Adults","422"
"Janssen Vaccines & Prevention B.V","western cape","Adults","300"
"Pfizer","eastern cape","12-17 Years","376"
"Pfizer","eastern cape","Adults","963"
"Pfizer","free state","12-17 Years","184"
"Pfizer","free state","Adults","539"
"Pfizer","gauteng","12-17 Years","601"
"Pfizer","gauteng","Adults","3497"
"Pfizer","kwazulu-natal","12-17 Years","215"
"Pfizer","kwazulu-natal","Adults","1474"
"Pfizer","limpopo","12-17 Years","320"
"Pfizer","limpopo","Adults","738"
"Pfizer","mpumalanga","12-17 Years","230"
"Pfizer","mpumalanga","Adults","584"
"Pfizer","northern cape","12-17 Years","46"
"Pfizer","northern cape","Adults","137"
"Pfizer","north west","12-17 Years","110"
"Pfizer","north west","Adults","487"
"Pfizer","western cape","12-17 Years","140"
"Pfizer","western cape","Adults","927"
