"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","265","0","296","561"
"Janssen Vaccines & Prevention B.V","free state","Adults","67","0","76","143"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","606","0","668","1274"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","343","0","409","752"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","183","0","248","431"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","324","0","355","679"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","113","0","238","351"
"Janssen Vaccines & Prevention B.V","north west","Adults","212","0","541","753"
"Janssen Vaccines & Prevention B.V","western cape","Adults","197","0","326","523"
"Pfizer","eastern cape","12-17 Years","132","391","0","523"
"Pfizer","eastern cape","Adults","209","365","780","1354"
"Pfizer","free state","12-17 Years","37","82","0","119"
"Pfizer","free state","Adults","56","78","246","380"
"Pfizer","gauteng","12-17 Years","208","488","0","696"
"Pfizer","gauteng","Adults","633","1244","2269","4146"
"Pfizer","kwazulu-natal","12-17 Years","229","314","1","544"
"Pfizer","kwazulu-natal","Adults","386","564","1028","1978"
"Pfizer","limpopo","12-17 Years","76","93","0","169"
"Pfizer","limpopo","Adults","96","108","200","404"
"Pfizer","mpumalanga","12-17 Years","152","107","0","259"
"Pfizer","mpumalanga","Adults","117","117","281","515"
"Pfizer","northern cape","12-17 Years","55","70","0","125"
"Pfizer","northern cape","Adults","76","109","221","406"
"Pfizer","north west","12-17 Years","177","125","0","302"
"Pfizer","north west","Adults","118","181","338","637"
"Pfizer","western cape","12-17 Years","94","120","0","214"
"Pfizer","western cape","Adults","173","359","1376","1908"
