"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","594"
"Janssen Vaccines & Prevention B.V","free state","Adults","303"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1455"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","793"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","554"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1126"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","138"
"Janssen Vaccines & Prevention B.V","north west","Adults","399"
"Janssen Vaccines & Prevention B.V","western cape","Adults","440"
"Pfizer","eastern cape","12-17 Years","907"
"Pfizer","eastern cape","Adults","856"
"Pfizer","free state","12-17 Years","822"
"Pfizer","free state","Adults","552"
"Pfizer","gauteng","12-17 Years","1080"
"Pfizer","gauteng","Adults","3075"
"Pfizer","kwazulu-natal","12-17 Years","1151"
"Pfizer","kwazulu-natal","Adults","1571"
"Pfizer","limpopo","12-17 Years","411"
"Pfizer","limpopo","Adults","563"
"Pfizer","mpumalanga","12-17 Years","465"
"Pfizer","mpumalanga","Adults","465"
"Pfizer","northern cape","12-17 Years","126"
"Pfizer","northern cape","Adults","149"
"Pfizer","north west","12-17 Years","710"
"Pfizer","north west","Adults","515"
"Pfizer","western cape","12-17 Years","277"
"Pfizer","western cape","Adults","1100"
