"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","962"
"eastern cape","Public Health","5608"
"free state","Private Health","826"
"free state","Public Health","3722"
"gauteng","Private Health","8089"
"gauteng","Public Health","7020"
"kwazulu-natal","Private Health","1960"
"kwazulu-natal","Public Health","6901"
"limpopo","Private Health","1077"
"limpopo","Public Health","3862"
"mpumalanga","Private Health","595"
"mpumalanga","Public Health","4621"
"northern cape","Private Health","300"
"northern cape","Public Health","1095"
"north west","Private Health","975"
"north west","Public Health","3655"
"western cape","Private Health","3127"
"western cape","Public Health","4347"
