"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","80","0","160","240"
"Janssen Vaccines & Prevention B.V","free state","Adults","28","0","63","91"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","594","0","601","1195"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","244","0","392","636"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","141","0","92","233"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","191","0","232","423"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","34","0","67","101"
"Janssen Vaccines & Prevention B.V","north west","Adults","193","0","455","648"
"Janssen Vaccines & Prevention B.V","western cape","Adults","88","0","170","258"
"Pfizer","eastern cape","12-17 Years","78","71","0","149"
"Pfizer","eastern cape","Adults","46","108","385","539"
"Pfizer","free state","12-17 Years","15","84","0","99"
"Pfizer","free state","Adults","27","87","296","410"
"Pfizer","gauteng","12-17 Years","206","680","0","886"
"Pfizer","gauteng","Adults","673","1788","3343","5804"
"Pfizer","kwazulu-natal","12-17 Years","208","326","0","534"
"Pfizer","kwazulu-natal","Adults","409","683","1526","2618"
"Pfizer","limpopo","12-17 Years","28","67","0","95"
"Pfizer","limpopo","Adults","55","101","112","268"
"Pfizer","mpumalanga","12-17 Years","79","106","0","185"
"Pfizer","mpumalanga","Adults","59","122","303","484"
"Pfizer","northern cape","12-17 Years","9","15","0","24"
"Pfizer","northern cape","Adults","30","49","113","192"
"Pfizer","north west","12-17 Years","69","117","0","186"
"Pfizer","north west","Adults","91","202","433","726"
"Pfizer","western cape","12-17 Years","39","159","0","198"
"Pfizer","western cape","Adults","104","284","1329","1717"
