"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","17"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","33"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","90"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","14"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","10"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","1"
"Janssen Vaccines & Prevention B.V","north west","Adults","94"
"Janssen Vaccines & Prevention B.V","western cape","Adults","12"
"Pfizer","eastern cape","12-17 Years","5"
"Pfizer","eastern cape","Adults","13"
"Pfizer","free state","12-17 Years","5"
"Pfizer","free state","Adults","11"
"Pfizer","gauteng","12-17 Years","38"
"Pfizer","gauteng","Adults","116"
"Pfizer","kwazulu-natal","12-17 Years","51"
"Pfizer","kwazulu-natal","Adults","96"
"Pfizer","limpopo","12-17 Years","11"
"Pfizer","limpopo","Adults","17"
"Pfizer","mpumalanga","12-17 Years","0"
"Pfizer","mpumalanga","Adults","2"
"Pfizer","northern cape","12-17 Years","1"
"Pfizer","northern cape","Adults","4"
"Pfizer","north west","12-17 Years","45"
"Pfizer","north west","Adults","45"
"Pfizer","western cape","12-17 Years","0"
"Pfizer","western cape","Adults","11"
