"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","891"
"eastern cape","Public Health","7186"
"free state","Private Health","878"
"free state","Public Health","3456"
"gauteng","Private Health","6445"
"gauteng","Public Health","8419"
"kwazulu-natal","Private Health","1449"
"kwazulu-natal","Public Health","6487"
"limpopo","Private Health","841"
"limpopo","Public Health","4536"
"mpumalanga","Private Health","496"
"mpumalanga","Public Health","5033"
"northern cape","Private Health","264"
"northern cape","Public Health","703"
"north west","Private Health","813"
"north west","Public Health","3497"
"western cape","Private Health","2467"
"western cape","Public Health","3514"
