"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","8"
"eastern cape","Public Health","166"
"free state","Private Health","41"
"gauteng","Private Health","339"
"gauteng","Public Health","218"
"kwazulu-natal","Private Health","228"
"kwazulu-natal","Public Health","363"
"limpopo","Private Health","29"
"limpopo","Public Health","42"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","20"
"northern cape","Private Health","13"
"north west","Private Health","3"
"north west","Public Health","587"
"western cape","Private Health","9"
"western cape","Public Health","64"
