"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","66","0","117","183"
"Janssen Vaccines & Prevention B.V","free state","Adults","21","0","38","59"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","398","0","376","774"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","189","0","253","442"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","61","0","96","157"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","73","0","81","154"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","9","0","30","39"
"Janssen Vaccines & Prevention B.V","north west","Adults","152","0","299","451"
"Janssen Vaccines & Prevention B.V","western cape","Adults","46","0","81","127"
"Pfizer","eastern cape","12-17 Years","35","66","0","101"
"Pfizer","eastern cape","Adults","60","115","264","439"
"Pfizer","free state","12-17 Years","16","64","0","80"
"Pfizer","free state","Adults","29","54","126","209"
"Pfizer","gauteng","12-17 Years","213","588","0","801"
"Pfizer","gauteng","Adults","627","1305","2311","4243"
"Pfizer","kwazulu-natal","12-17 Years","60","213","0","273"
"Pfizer","kwazulu-natal","Adults","244","515","983","1742"
"Pfizer","limpopo","12-17 Years","56","87","0","143"
"Pfizer","limpopo","Adults","69","115","120","304"
"Pfizer","mpumalanga","12-17 Years","47","54","0","101"
"Pfizer","mpumalanga","Adults","87","94","172","353"
"Pfizer","northern cape","12-17 Years","3","17","0","20"
"Pfizer","northern cape","Adults","21","34","43","98"
"Pfizer","north west","12-17 Years","50","77","0","127"
"Pfizer","north west","Adults","76","175","304","555"
"Pfizer","western cape","12-17 Years","33","101","0","134"
"Pfizer","western cape","Adults","78","197","747","1022"
