"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","30"
"eastern cape","Public Health","725"
"free state","Public Health","14"
"gauteng","Private Health","210"
"gauteng","Public Health","802"
"kwazulu-natal","Private Health","129"
"kwazulu-natal","Public Health","1363"
"limpopo","Private Health","5"
"limpopo","Public Health","235"
"mpumalanga","Private Health","4"
"mpumalanga","Public Health","418"
"northern cape","Private Health","89"
"northern cape","Public Health","203"
"north west","Private Health","8"
"north west","Public Health","918"
"western cape","Private Health","25"
"western cape","Public Health","667"
