"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","614"
"Janssen Vaccines & Prevention B.V","free state","Adults","469"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1819"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","916"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","640"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","814"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","107"
"Janssen Vaccines & Prevention B.V","north west","Adults","504"
"Janssen Vaccines & Prevention B.V","western cape","Adults","568"
"Pfizer","eastern cape","12-17 Years","678"
"Pfizer","eastern cape","Adults","891"
"Pfizer","free state","12-17 Years","1144"
"Pfizer","free state","Adults","811"
"Pfizer","gauteng","12-17 Years","2793"
"Pfizer","gauteng","Adults","6034"
"Pfizer","kwazulu-natal","12-17 Years","995"
"Pfizer","kwazulu-natal","Adults","2066"
"Pfizer","limpopo","12-17 Years","1181"
"Pfizer","limpopo","Adults","964"
"Pfizer","mpumalanga","12-17 Years","530"
"Pfizer","mpumalanga","Adults","633"
"Pfizer","northern cape","12-17 Years","155"
"Pfizer","northern cape","Adults","228"
"Pfizer","north west","12-17 Years","465"
"Pfizer","north west","Adults","714"
"Pfizer","western cape","12-17 Years","686"
"Pfizer","western cape","Adults","1734"
