"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","17","0","59","76"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","33","0","34","67"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","90","0","75","165"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","14","0","10","24"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","10","0","7","17"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","1","0","2","3"
"Janssen Vaccines & Prevention B.V","north west","Adults","94","0","214","308"
"Janssen Vaccines & Prevention B.V","western cape","Adults","12","0","9","21"
"Pfizer","eastern cape","12-17 Years","12","5","0","17"
"Pfizer","eastern cape","Adults","10","13","58","81"
"Pfizer","free state","12-17 Years","0","5","0","5"
"Pfizer","free state","Adults","3","11","22","36"
"Pfizer","gauteng","12-17 Years","14","38","0","52"
"Pfizer","gauteng","Adults","86","116","236","438"
"Pfizer","kwazulu-natal","12-17 Years","8","51","0","59"
"Pfizer","kwazulu-natal","Adults","64","96","207","367"
"Pfizer","limpopo","12-17 Years","3","11","0","14"
"Pfizer","limpopo","Adults","9","17","7","33"
"Pfizer","mpumalanga","12-17 Years","1","0","0","1"
"Pfizer","mpumalanga","Adults","0","2","3","5"
"Pfizer","northern cape","12-17 Years","2","1","0","3"
"Pfizer","northern cape","Adults","3","4","0","7"
"Pfizer","north west","12-17 Years","32","45","0","77"
"Pfizer","north west","Adults","28","45","132","205"
"Pfizer","western cape","12-17 Years","2","0","0","2"
"Pfizer","western cape","Adults","12","11","27","50"
