"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","484"
"Janssen Vaccines & Prevention B.V","free state","Adults","230"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1047"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","479"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","796"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1016"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","65"
"Janssen Vaccines & Prevention B.V","north west","Adults","284"
"Janssen Vaccines & Prevention B.V","western cape","Adults","426"
"Pfizer","eastern cape","12-17 Years","1310"
"Pfizer","eastern cape","Adults","676"
"Pfizer","free state","12-17 Years","406"
"Pfizer","free state","Adults","252"
"Pfizer","gauteng","12-17 Years","1036"
"Pfizer","gauteng","Adults","1841"
"Pfizer","kwazulu-natal","12-17 Years","823"
"Pfizer","kwazulu-natal","Adults","684"
"Pfizer","limpopo","12-17 Years","483"
"Pfizer","limpopo","Adults","603"
"Pfizer","mpumalanga","12-17 Years","526"
"Pfizer","mpumalanga","Adults","342"
"Pfizer","northern cape","12-17 Years","54"
"Pfizer","northern cape","Adults","93"
"Pfizer","north west","12-17 Years","690"
"Pfizer","north west","Adults","298"
"Pfizer","western cape","12-17 Years","103"
"Pfizer","western cape","Adults","706"
