"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1033"
"eastern cape","Public Health","5629"
"free state","Private Health","754"
"free state","Public Health","3112"
"gauteng","Private Health","6761"
"gauteng","Public Health","7114"
"kwazulu-natal","Private Health","1508"
"kwazulu-natal","Public Health","5505"
"limpopo","Private Health","1116"
"limpopo","Public Health","4591"
"mpumalanga","Private Health","501"
"mpumalanga","Public Health","3731"
"northern cape","Private Health","244"
"northern cape","Public Health","577"
"north west","Private Health","981"
"north west","Public Health","2498"
"western cape","Private Health","3011"
"western cape","Public Health","2838"
