"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","352"
"eastern cape","Public Health","371"
"free state","Private Health","133"
"free state","Public Health","215"
"gauteng","Private Health","4450"
"gauteng","Public Health","1368"
"kwazulu-natal","Private Health","1563"
"kwazulu-natal","Public Health","894"
"limpopo","Private Health","432"
"limpopo","Public Health","172"
"mpumalanga","Private Health","235"
"mpumalanga","Public Health","373"
"northern cape","Private Health","80"
"northern cape","Public Health","77"
"north west","Private Health","271"
"north west","Public Health","862"
"western cape","Private Health","1136"
"western cape","Public Health","147"
