"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","1473"
"eastern cape","Public Health","6829"
"free state","Private Health","935"
"free state","Public Health","4843"
"gauteng","Private Health","9662"
"gauteng","Public Health","12035"
"kwazulu-natal","Private Health","2261"
"kwazulu-natal","Public Health","7463"
"limpopo","Private Health","1671"
"limpopo","Public Health","6626"
"mpumalanga","Private Health","737"
"mpumalanga","Public Health","4812"
"northern cape","Private Health","354"
"northern cape","Public Health","623"
"north west","Private Health","1060"
"north west","Public Health","3482"
"western cape","Private Health","4019"
"western cape","Public Health","5363"
