"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","697","0","1101","1798"
"Janssen Vaccines & Prevention B.V","free state","Adults","356","0","695","1051"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1502","0","1338","2840"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","976","0","1215","2191"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","648","0","1294","1942"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","604","0","760","1364"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","78","0","188","266"
"Janssen Vaccines & Prevention B.V","north west","Adults","422","0","852","1274"
"Janssen Vaccines & Prevention B.V","western cape","Adults","300","0","645","945"
"Pfizer","eastern cape","12-17 Years","566","376","0","942"
"Pfizer","eastern cape","Adults","476","963","2483","3922"
"Pfizer","free state","12-17 Years","129","184","0","313"
"Pfizer","free state","Adults","373","539","1590","2502"
"Pfizer","gauteng","12-17 Years","201","601","0","802"
"Pfizer","gauteng","Adults","1763","3497","4973","10233"
"Pfizer","kwazulu-natal","12-17 Years","166","215","0","381"
"Pfizer","kwazulu-natal","Adults","920","1474","2047","4441"
"Pfizer","limpopo","12-17 Years","276","320","0","596"
"Pfizer","limpopo","Adults","354","738","2077","3169"
"Pfizer","mpumalanga","12-17 Years","470","230","0","700"
"Pfizer","mpumalanga","Adults","568","584","1016","2168"
"Pfizer","northern cape","12-17 Years","14","46","0","60"
"Pfizer","northern cape","Adults","87","137","271","495"
"Pfizer","north west","12-17 Years","149","110","0","259"
"Pfizer","north west","Adults","246","487","1213","1946"
"Pfizer","western cape","12-17 Years","57","140","0","197"
"Pfizer","western cape","Adults","473","927","3307","4707"
