"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","581","0","1039","1620"
"Janssen Vaccines & Prevention B.V","free state","Adults","332","0","657","989"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1436","0","1272","2708"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","429","0","623","1052"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","785","0","1682","2467"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","1018","0","967","1985"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","100","0","230","330"
"Janssen Vaccines & Prevention B.V","north west","Adults","398","0","806","1204"
"Janssen Vaccines & Prevention B.V","western cape","Adults","391","0","571","962"
"Pfizer","eastern cape","12-17 Years","1068","1124","0","2192"
"Pfizer","eastern cape","Adults","449","792","1918","3159"
"Pfizer","free state","12-17 Years","530","540","0","1070"
"Pfizer","free state","Adults","373","454","1286","2113"
"Pfizer","gauteng","12-17 Years","1117","1540","0","2657"
"Pfizer","gauteng","Adults","1712","2765","4457","8934"
"Pfizer","kwazulu-natal","12-17 Years","464","1024","0","1488"
"Pfizer","kwazulu-natal","Adults","402","488","742","1632"
"Pfizer","limpopo","12-17 Years","959","869","0","1828"
"Pfizer","limpopo","Adults","479","832","1930","3241"
"Pfizer","mpumalanga","12-17 Years","1656","726","0","2382"
"Pfizer","mpumalanga","Adults","344","442","884","1670"
"Pfizer","northern cape","12-17 Years","31","19","0","50"
"Pfizer","northern cape","Adults","58","113","455","626"
"Pfizer","north west","12-17 Years","541","790","0","1331"
"Pfizer","north west","Adults","274","445","876","1595"
"Pfizer","western cape","12-17 Years","183","100","0","283"
"Pfizer","western cape","Adults","507","819","2815","4141"
