"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","80"
"Janssen Vaccines & Prevention B.V","free state","Adults","28"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","594"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","244"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","141"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","191"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","34"
"Janssen Vaccines & Prevention B.V","north west","Adults","193"
"Janssen Vaccines & Prevention B.V","western cape","Adults","88"
"Pfizer","eastern cape","12-17 Years","71"
"Pfizer","eastern cape","Adults","108"
"Pfizer","free state","12-17 Years","84"
"Pfizer","free state","Adults","87"
"Pfizer","gauteng","12-17 Years","680"
"Pfizer","gauteng","Adults","1788"
"Pfizer","kwazulu-natal","12-17 Years","326"
"Pfizer","kwazulu-natal","Adults","683"
"Pfizer","limpopo","12-17 Years","67"
"Pfizer","limpopo","Adults","101"
"Pfizer","mpumalanga","12-17 Years","106"
"Pfizer","mpumalanga","Adults","122"
"Pfizer","northern cape","12-17 Years","15"
"Pfizer","northern cape","Adults","49"
"Pfizer","north west","12-17 Years","117"
"Pfizer","north west","Adults","202"
"Pfizer","western cape","12-17 Years","159"
"Pfizer","western cape","Adults","284"
