"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","463"
"eastern cape","Public Health","465"
"free state","Private Health","300"
"free state","Public Health","300"
"gauteng","Private Health","5272"
"gauteng","Public Health","2613"
"kwazulu-natal","Private Health","1974"
"kwazulu-natal","Public Health","1814"
"limpopo","Private Health","372"
"limpopo","Public Health","224"
"mpumalanga","Private Health","238"
"mpumalanga","Public Health","854"
"northern cape","Private Health","256"
"northern cape","Public Health","61"
"north west","Private Health","349"
"north west","Public Health","1211"
"western cape","Private Health","1323"
"western cape","Public Health","850"
