"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10126","5054","15180"
"National","eastern cape","Private Health","Male","8580","3924","12504"
"National","eastern cape","Public Health","Female","150976","62175","213151"
"National","eastern cape","Public Health","Male","125044","45621","170665"
"National","free state","Private Health","Female","9085","4624","13709"
"National","free state","Private Health","Male","7500","3579","11079"
"National","free state","Public Health","Female","83036","40983","124019"
"National","free state","Public Health","Male","71171","30891","102062"
"National","gauteng","Private Health","Female","52474","30003","82477"
"National","gauteng","Private Health","Male","48235","25818","74053"
"National","gauteng","Public Health","Female","160365","65869","226234"
"National","gauteng","Public Health","Male","127048","48597","175645"
"National","kwazulu-natal","Private Health","Female","16561","9444","26005"
"National","kwazulu-natal","Private Health","Male","15097","8155","23252"
"National","kwazulu-natal","Public Health","Female","156681","72198","228879"
"National","kwazulu-natal","Public Health","Male","106940","43974","150914"
"National","limpopo","Private Health","Female","11758","5330","17088"
"National","limpopo","Private Health","Male","9122","3693","12815"
"National","limpopo","Public Health","Female","144743","51711","196454"
"National","limpopo","Public Health","Male","125001","38733","163734"
"National","mpumalanga","Private Health","Female","3876","1696","5572"
"National","mpumalanga","Private Health","Male","3395","1510","4905"
"National","mpumalanga","Public Health","Female","77518","29433","106951"
"National","mpumalanga","Public Health","Male","63770","20218","83988"
"National","northern cape","Private Health","Female","2087","1047","3134"
"National","northern cape","Private Health","Male","1915","817","2732"
"National","northern cape","Public Health","Female","18264","7547","25811"
"National","northern cape","Public Health","Male","14343","5542","19885"
"National","north west","Private Health","Female","5082","2395","7477"
"National","north west","Private Health","Male","4622","2025","6647"
"National","north west","Public Health","Female","77322","27853","105175"
"National","north west","Public Health","Male","64213","20436","84649"
"National","western cape","Private Health","Female","22889","12572","35461"
"National","western cape","Private Health","Male","20756","10898","31654"
"National","western cape","Public Health","Female","48306","16850","65156"
"National","western cape","Public Health","Male","40472","13848","54320"
