"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920451"
"eastern cape","Pfizer","1352000"
"free state","Johnson & Johnson","488410"
"free state","Pfizer","680511"
"gauteng","Johnson & Johnson","1556495"
"gauteng","Pfizer","3932710"
"kwazulu-natal","Johnson & Johnson","1251222"
"kwazulu-natal","Pfizer","1999158"
"limpopo","Johnson & Johnson","1083700"
"limpopo","Pfizer","1052353"
"mpumalanga","Johnson & Johnson","833955"
"mpumalanga","Pfizer","580395"
"northern cape","Johnson & Johnson","216590"
"northern cape","Pfizer","228283"
"north west","Johnson & Johnson","715629"
"north west","Pfizer","627123"
"western cape","Johnson & Johnson","754222"
"western cape","Pfizer","2129317"
