"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","536987"
"kwazulu-natal","Private Health","1236629"
"western cape","Private Health","1922096"
"limpopo","Private Health","608671"
"northern cape","Public Health","608619"
"gauteng","Private Health","4572994"
"kwazulu-natal","Public Health","4661910"
"free state","Public Health","1864361"
"north west","Public Health","1785221"
"gauteng","Public Health","5835347"
"mpumalanga","Private Health","406349"
"mpumalanga","Public Health","1929568"
"northern cape","Private Health","158039"
"eastern cape","Private Health","694121"
"western cape","Public Health","3681755"
"limpopo","Public Health","3143846"
"free state","Private Health","400322"
"eastern cape","Public Health","3547657"
