"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","857888","0","146696","1004584"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","463259","0","90604","553863"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1412344","0","201600","1613944"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1153030","0","176030","1329060"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1046930","0","145196","1192126"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","809128","0","123789","932917"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","206796","0","33829","240625"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","690906","0","110408","801314"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","657412","0","109219","766631"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60869","0","24221","85090"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24395","0","12199","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137551","0","65384","202935"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94503","0","40024","134527"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21919","0","7151","29070"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23476","0","8965","32441"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94614","0","61527","156141"
"Pfizer","National","eastern cape","Adults","1344294","1132445","238926","2715665"
"Pfizer","National","eastern cape","12-17 Years","289502","109157","0","398659"
"Pfizer","National","free state","12-17 Years","171679","79642","0","251321"
"Pfizer","National","free state","Adults","676898","595464","138312","1410674"
"Pfizer","National","gauteng","12-17 Years","391465","170526","15","562006"
"Pfizer","National","gauteng","Adults","3919630","3398119","670403","7988152"
"Pfizer","National","kwazulu-natal","Adults","1990190","1657439","330092","3977721"
"Pfizer","National","kwazulu-natal","12-17 Years","297392","131960","9","429361"
"Pfizer","National","limpopo","Adults","1046632","881040","172731","2100403"
"Pfizer","National","limpopo","12-17 Years","289725","96558","2","386285"
"Pfizer","National","mpumalanga","12-17 Years","148061","49876","0","197937"
"Pfizer","National","mpumalanga","Adults","576653","475883","106712","1159248"
"Pfizer","National","northern cape","12-17 Years","36423","14186","0","50609"
"Pfizer","National","northern cape","Adults","227395","194478","36036","457909"
"Pfizer","National","north west","12-17 Years","152850","52789","4","205643"
"Pfizer","National","north west","Adults","624538","540670","110698","1275906"
"Pfizer","National","western cape","12-17 Years","132380","53404","2","185786"
"Pfizer","National","western cape","Adults","2124338","1866295","484841","4475474"
