"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535549"
"kwazulu-natal","Private Health","1233328"
"western cape","Private Health","1915696"
"limpopo","Private Health","605042"
"northern cape","Public Health","605563"
"gauteng","Private Health","4556860"
"kwazulu-natal","Public Health","4637341"
"free state","Public Health","1853586"
"north west","Public Health","1779755"
"gauteng","Public Health","5810177"
"mpumalanga","Private Health","405411"
"mpumalanga","Public Health","1913761"
"northern cape","Private Health","157499"
"eastern cape","Private Health","692055"
"western cape","Public Health","3668336"
"limpopo","Public Health","3124975"
"free state","Private Health","398866"
"eastern cape","Public Health","3511943"
