"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","12"
"eastern cape","Public Health","284"
"free state","Public Health","92"
"gauteng","Private Health","155"
"gauteng","Public Health","753"
"kwazulu-natal","Private Health","2"
"kwazulu-natal","Public Health","299"
"limpopo","Private Health","11"
"limpopo","Public Health","224"
"mpumalanga","Private Health","6"
"mpumalanga","Public Health","301"
"northern cape","Public Health","57"
"north west","Private Health","26"
"north west","Public Health","318"
"western cape","Private Health","21"
"western cape","Public Health","382"
