"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","525210"
"kwazulu-natal","Private Health","1208037"
"western cape","Private Health","1875435"
"limpopo","Private Health","586237"
"northern cape","Public Health","566942"
"gauteng","Private Health","4449262"
"kwazulu-natal","Public Health","4406350"
"free state","Public Health","1780102"
"north west","Public Health","1726509"
"gauteng","Public Health","5649265"
"mpumalanga","Private Health","391858"
"mpumalanga","Public Health","1796191"
"northern cape","Private Health","153658"
"eastern cape","Private Health","675563"
"western cape","Public Health","3593175"
"limpopo","Public Health","2995224"
"free state","Private Health","388126"
"eastern cape","Public Health","3338802"
