"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","904069"
"eastern cape","Pfizer","1316035"
"free state","Johnson & Johnson","480738"
"free state","Pfizer","662597"
"gauteng","Johnson & Johnson","1510412"
"gauteng","Pfizer","3858428"
"kwazulu-natal","Johnson & Johnson","1214972"
"kwazulu-natal","Pfizer","1938776"
"limpopo","Johnson & Johnson","1065647"
"limpopo","Pfizer","1025066"
"mpumalanga","Johnson & Johnson","802566"
"mpumalanga","Pfizer","558860"
"northern cape","Johnson & Johnson","211590"
"northern cape","Pfizer","220814"
"north west","Johnson & Johnson","705469"
"north west","Pfizer","612503"
"western cape","Johnson & Johnson","740220"
"western cape","Pfizer","2102010"
