"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","843210","0","118674","961884"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","456348","0","74140","530488"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1373078","0","175486","1548564"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1120493","0","146492","1266985"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1031466","0","120374","1151840"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","780674","0","94362","875036"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","202126","0","24280","226406"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","682004","0","95959","777963"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","645648","0","96744","742392"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60859","0","24220","85079"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24390","0","12199","36589"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137334","0","65377","202711"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94479","0","40018","134497"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34181","0","17016","51197"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21892","0","7150","29042"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23465","0","8964","32429"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94572","0","61528","156100"
"Pfizer","National","eastern cape","Adults","1316035","1101612","192759","2610406"
"Pfizer","National","eastern cape","12-17 Years","273910","83086","0","356996"
"Pfizer","National","free state","12-17 Years","169896","72535","0","242431"
"Pfizer","National","free state","Adults","662597","578997","117126","1358720"
"Pfizer","National","gauteng","12-17 Years","388869","160553","7","549429"
"Pfizer","National","gauteng","Adults","3858428","3332244","607151","7797823"
"Pfizer","National","kwazulu-natal","Adults","1938776","1604864","287868","3831508"
"Pfizer","National","kwazulu-natal","12-17 Years","276702","104691","4","381397"
"Pfizer","National","limpopo","Adults","1025066","860772","149024","2034862"
"Pfizer","National","limpopo","12-17 Years","263125","80437","0","343562"
"Pfizer","National","mpumalanga","12-17 Years","140463","40628","0","181091"
"Pfizer","National","mpumalanga","Adults","558860","458394","85626","1102880"
"Pfizer","National","northern cape","12-17 Years","32149","9858","0","42007"
"Pfizer","National","northern cape","Adults","220814","188631","28823","438268"
"Pfizer","National","north west","12-17 Years","152217","49076","2","201295"
"Pfizer","National","north west","Adults","612503","529309","98220","1240032"
"Pfizer","National","western cape","12-17 Years","130911","50370","1","181282"
"Pfizer","National","western cape","Adults","2102010","1841781","445045","4388836"
