"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10666","5017","15683"
"National","eastern cape","Private Health","Male","8923","3859","12782"
"National","eastern cape","Public Health","Female","140294","44186","184480"
"National","eastern cape","Public Health","Male","114027","30024","144051"
"National","free state","Private Health","Female","9207","4266","13473"
"National","free state","Private Health","Male","7465","3259","10724"
"National","free state","Public Health","Female","82726","37378","120104"
"National","free state","Public Health","Male","70498","27632","98130"
"National","gauteng","Private Health","Female","54149","29368","83517"
"National","gauteng","Private Health","Male","49406","24978","74384"
"National","gauteng","Public Health","Female","159507","61471","220978"
"National","gauteng","Public Health","Male","125807","44736","170543"
"National","kwazulu-natal","Private Health","Female","17462","9575","27037"
"National","kwazulu-natal","Private Health","Male","15756","8111","23867"
"National","kwazulu-natal","Public Health","Female","145189","54463","199652"
"National","kwazulu-natal","Public Health","Male","98295","32542","130837"
"National","limpopo","Private Health","Female","11527","4880","16407"
"National","limpopo","Private Health","Male","8932","3431","12363"
"National","limpopo","Public Health","Female","131325","41459","172784"
"National","limpopo","Public Health","Male","111341","30667","142008"
"National","mpumalanga","Private Health","Female","4020","1659","5679"
"National","mpumalanga","Private Health","Male","3516","1445","4961"
"National","mpumalanga","Public Health","Female","72642","22003","94645"
"National","mpumalanga","Public Health","Male","60285","15521","75806"
"National","northern cape","Private Health","Female","2148","1022","3170"
"National","northern cape","Private Health","Male","1955","760","2715"
"National","northern cape","Public Health","Female","15684","4624","20308"
"National","northern cape","Public Health","Male","12362","3452","15814"
"National","north west","Private Health","Female","5308","2397","7705"
"National","north west","Private Health","Male","4782","1996","6778"
"National","north west","Public Health","Female","77854","26111","103965"
"National","north west","Public Health","Male","64273","18572","82845"
"National","western cape","Private Health","Female","23722","12147","35869"
"National","western cape","Private Health","Male","21254","10401","31655"
"National","western cape","Public Health","Female","46960","15341","62301"
"National","western cape","Public Health","Male","38975","12481","51456"
