"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538352"
"kwazulu-natal","Private Health","1238333"
"western cape","Private Health","1924357"
"limpopo","Private Health","611646"
"northern cape","Public Health","615596"
"gauteng","Private Health","4586920"
"kwazulu-natal","Public Health","4694865"
"mpumalanga","","20"
"free state","Public Health","1876930"
"north west","Public Health","1799627"
"gauteng","Public Health","5880813"
"mpumalanga","Private Health","406906"
"mpumalanga","Public Health","1954638"
"western cape","","2"
"northern cape","Private Health","158432"
"eastern cape","Private Health","695444"
"western cape","Public Health","3702702"
"limpopo","Public Health","3182001"
"limpopo","","2"
"free state","Private Health","402063"
"eastern cape","Public Health","3603822"
