"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","36"
"eastern cape","Public Health","141"
"free state","Private Health","6"
"gauteng","Private Health","142"
"gauteng","Public Health","626"
"kwazulu-natal","Private Health","29"
"kwazulu-natal","Public Health","831"
"limpopo","Private Health","51"
"limpopo","Public Health","25"
"mpumalanga","Public Health","107"
"northern cape","Private Health","110"
"northern cape","Public Health","6"
"north west","Public Health","676"
"western cape","Private Health","16"
"western cape","Public Health","2"
