"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","41"
"eastern cape","Public Health","2314"
"free state","Private Health","34"
"free state","Public Health","437"
"gauteng","Private Health","492"
"gauteng","Public Health","1010"
"kwazulu-natal","Private Health","77"
"kwazulu-natal","Public Health","766"
"limpopo","Private Health","90"
"limpopo","Public Health","619"
"mpumalanga","Private Health","27"
"mpumalanga","Public Health","705"
"northern cape","Private Health","2"
"northern cape","Public Health","148"
"north west","Private Health","57"
"north west","Public Health","289"
"western cape","Private Health","221"
"western cape","Public Health","519"
