"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","92"
"Janssen Vaccines & Prevention B.V","free state","Adults","54"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","295"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","128"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","74"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","112"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","10"
"Janssen Vaccines & Prevention B.V","north west","Adults","83"
"Janssen Vaccines & Prevention B.V","western cape","Adults","95"
"Pfizer","eastern cape","12-17 Years","502"
"Pfizer","eastern cape","Adults","341"
"Pfizer","free state","12-17 Years","48"
"Pfizer","free state","Adults","52"
"Pfizer","gauteng","12-17 Years","82"
"Pfizer","gauteng","Adults","274"
"Pfizer","kwazulu-natal","12-17 Years","70"
"Pfizer","kwazulu-natal","Adults","193"
"Pfizer","limpopo","12-17 Years","115"
"Pfizer","limpopo","Adults","127"
"Pfizer","mpumalanga","12-17 Years","203"
"Pfizer","mpumalanga","Adults","87"
"Pfizer","northern cape","12-17 Years","34"
"Pfizer","northern cape","Adults","11"
"Pfizer","north west","12-17 Years","31"
"Pfizer","north west","Adults","40"
"Pfizer","western cape","12-17 Years","105"
"Pfizer","western cape","Adults","135"
